role,permission,direct,effective_via_alias
"admin","classes:create","true","true"
"admin","classes:read","true","true"
"admin","streams:create","true","true"
"admin","streams:read","true","true"
"admin","academic_years:create","true","true"
"admin","academic_years:read","true","true"
"admin","sections:create","true","true"
"admin","sections:read","true","true"
"admin","academics:manage","true","true"
"admin","academics:read","true","true"
"admin","academics:enter_marks","true","true"
"admin","academics:manage_report_cards","true","true"
"admin","academics:create","true","true"
"admin","academics:update","true","true"
"admin","academics:delete","true","true"
"admin","exam-terms:read","true","true"
"admin","exam-terms:manage","true","true"
"admin","exam-terms:unlock","true","true"
"admin","assessment-components:read","true","true"
"admin","assessment-components:manage","true","true"
"admin","marks:read","true","true"
"admin","marks:manage","true","true"
"admin","marks:review_lock","true","true"
"admin","academics:cas:manage","true","true"
"admin","cas-records:read","true","true"
"admin","cas-records:manage","true","true"
"admin","results:read","true","true"
"admin","results:publish","true","true"
"admin","results:unpublish","true","true"
"admin","academics:report_cards:review","true","true"
"admin","timetable:manage","true","true"
"admin","timetable:read_published","true","true"
"admin","timetable:read","true","true"
"admin","timetable:create","true","true"
"admin","timetable:update","true","true"
"admin","timetable:delete","true","true"
"admin","timetable:publish","true","true"
"admin","timetable:substitute","true","true"
"admin","homework:create","true","true"
"admin","homework:read_published","true","true"
"admin","homework:read","true","true"
"admin","homework:review","true","true"
"admin","homework:update","true","true"
"admin","homework:delete","true","true"
"admin","homework:notify","true","true"
"admin","homework:submit","true","true"
"admin","accounting:read","false","false"
"admin","accounting:close","false","false"
"admin","accounting:reverse","false","false"
"admin","accounting:accounts:read","false","false"
"admin","accounting:accounts:write","false","false"
"admin","accounting:fiscal:manage","false","false"
"admin","accounting:fiscal:reopen","false","false"
"admin","accounting:journals:read","false","false"
"admin","accounting:journals:create","false","false"
"admin","accounting:journals:submit","false","false"
"admin","accounting:journals:approve","false","false"
"admin","accounting:journals:reject","false","false"
"admin","accounting:journals:post","false","false"
"admin","accounting:journals:cancel","false","false"
"admin","accounting:journals:reverse","false","false"
"admin","accounting:reports:read","false","false"
"admin","accounting:audit:read","false","false"
"admin","accounting:reports:trial-balance","false","false"
"admin","accounting:reports:general-ledger","false","false"
"admin","accounting:reports:cash-book","false","false"
"admin","accounting:reports:income-statement","false","false"
"admin","accounting:reports:balance-sheet","false","false"
"admin","accounting:reports:tax-summary","false","false"
"admin","accounting:settings:read","false","false"
"admin","accounting:settings:update","false","false"
"admin","accounting:exports:create","false","true"
"admin","accounting:posting-batches:read","false","false"
"admin","accounting:posting-batches:retry","false","false"
"admin","accounting:payroll-handoff:read","false","false"
"admin","accounting:payroll-handoff:post","false","false"
"admin","accounting:expenses:read","false","false"
"admin","accounting:expenses:write","false","false"
"admin","accounting:vendors:read","false","false"
"admin","accounting:vendors:write","false","false"
"admin","accounting:payables:read","false","false"
"admin","accounting:payables:write","false","false"
"admin","accounting:reconciliation:read","false","false"
"admin","accounting:reconciliation:manage","false","false"
"admin","accounting:reconciliation:finalize","false","false"
"admin","finance:principal:read","false","false"
"admin","finance:approvals:read","false","false"
"admin","finance:approvals:decide","false","false"
"admin","accounting:budgets:read","false","false"
"admin","accounting:budgets:write","false","false"
"admin","accounting:reports:budget-vs-actual","false","false"
"admin","accounting:reports:cash-flow-statement","false","false"
"admin","activity_feed:create","true","true"
"admin","activity_feed:read","true","true"
"admin","activity_feed:moderate","true","true"
"admin","advanced:approvals:read","true","true"
"admin","advanced:approvals:manage","true","true"
"admin","advanced:approvals:decide","true","true"
"admin","advanced:automation:read","true","true"
"admin","advanced:automation:manage","true","true"
