local_level_id,district_id,type_id,type_code,name_en,name_ne
1,1,3,MUNICIPALITY,Shadanand,षडानन्द
2,1,3,MUNICIPALITY,Bhojpur,भोजपुर
3,1,4,RURAL_MUNICIPALITY,Hatuwagadhi,हतुवागढी
4,1,4,RURAL_MUNICIPALITY,Ramprasad Rai,रामप्रसाद राई
5,1,4,RURAL_MUNICIPALITY,Aamchok,आमचोक
6,1,4,RURAL_MUNICIPALITY,Tyamke Maiyum,टेम्केमैयुङ
7,1,4,RURAL_MUNICIPALITY,Arun,अरुण
8,1,4,RURAL_MUNICIPALITY,Pauwadungma,पौवादुङमा
9,1,4,RURAL_MUNICIPALITY,Salpasilichho,साल्पासिलिछो
10,2,3,MUNICIPALITY,Dhankuta,धनकुटा
11,2,3,MUNICIPALITY,Pakhribas,पाख्रिबास
12,2,3,MUNICIPALITY,Mahalaxmi,महालक्ष्मी
13,2,4,RURAL_MUNICIPALITY,Sangurigadhi,साँगुरीगढी
14,2,4,RURAL_MUNICIPALITY,Chaubise,चौविसे
15,2,4,RURAL_MUNICIPALITY,Sahidbhumi,सहिदभूमि
16,2,4,RURAL_MUNICIPALITY,Chhathar Jorpati,छथर जोरपाटी
17,3,3,MUNICIPALITY,Suryodaya,सूर्योदय
18,3,3,MUNICIPALITY,Ilam,ईलाम
19,3,3,MUNICIPALITY,Deumai,देउमाई
20,3,4,RURAL_MUNICIPALITY,Maijogmai,माईजोगमाई
21,3,4,RURAL_MUNICIPALITY,Phakphokthum,फाकफोकथुम
22,3,3,MUNICIPALITY,Mai,माई
23,3,4,RURAL_MUNICIPALITY,Chulachuli,चुलाचुली
24,3,4,RURAL_MUNICIPALITY,Rong,रोङ
25,3,4,RURAL_MUNICIPALITY,Mangsebung,माङसेबुङ
26,3,4,RURAL_MUNICIPALITY,Sandakpur,सन्दकपुर
27,4,3,MUNICIPALITY,Mechinagar,मेचीनगर
28,4,3,MUNICIPALITY,Birtamod,विर्तामोड
29,4,3,MUNICIPALITY,Damak,दमक
30,4,3,MUNICIPALITY,Bhadrapur,भद्रपुर
31,4,3,MUNICIPALITY,Shivasatakshi,शिवशताक्षी
32,4,3,MUNICIPALITY,Arjundhara,अर्जुनधारा
33,4,3,MUNICIPALITY,Gauradaha,गौरादह
34,4,3,MUNICIPALITY,Kankai,कन्काई
35,4,4,RURAL_MUNICIPALITY,Kamal,कमल
36,4,4,RURAL_MUNICIPALITY,Buddha Shanti,बुद्धशान्ति
37,4,4,RURAL_MUNICIPALITY,Kachankawal,कचनकवल
38,4,4,RURAL_MUNICIPALITY,Jhapa,झापा
39,4,4,RURAL_MUNICIPALITY,Barhadashi,बाह्रदशी
